"Gettysburg Area School District","1","910","50","50"
"92","NeedGoogleMapsAPIKey","39.8089561","-77.2192282","1"
"93","NeedGoogleMapsAPIKey","39.7971742","-77.218734","1"
"94","NeedGoogleMapsAPIKey","39.8208388","-77.238842","1"
"95","NeedGoogleMapsAPIKey","39.7901283","-77.2304812","1"
"96","NeedGoogleMapsAPIKey","39.7950653","-77.2161214","1"
"97","NeedGoogleMapsAPIKey","39.8211199","-77.2352084","1"
"98","NeedGoogleMapsAPIKey","39.8269391","-77.2343009","1"
"99","NeedGoogleMapsAPIKey","39.819271","-77.2375171","1"
"100","NeedGoogleMapsAPIKey","39.8267212","-77.232387","1"
"101","NeedGoogleMapsAPIKey","39.8136512","-77.205836","1"
"102","NeedGoogleMapsAPIKey","39.8046168","-77.2033178","1"
"103","NeedGoogleMapsAPIKey","39.8036368","-77.2296949","1"
"104","NeedGoogleMapsAPIKey","39.8194008","-77.2391795","1"
"105","NeedGoogleMapsAPIKey","39.8255642","-77.2316081","1"
"106","NeedGoogleMapsAPIKey","39.8136743","-77.2224132","1"
"107","NeedGoogleMapsAPIKey","39.800164","-77.2016025","1"
"108","NeedGoogleMapsAPIKey","39.8104983","-77.2214513","1"
"109","NeedGoogleMapsAPIKey","39.822573","-77.2332678","1"
"110","NeedGoogleMapsAPIKey","39.8246195","-77.2297579","1"
"111","NeedGoogleMapsAPIKey","39.8251485","-77.2331018","1"
"112","NeedGoogleMapsAPIKey","39.8199793","-77.2382655","1"
"113","NeedGoogleMapsAPIKey","39.8002958","-77.2658035","1"
"114","NeedGoogleMapsAPIKey","39.8080663","-77.2174872","1"
"115","NeedGoogleMapsAPIKey","39.7983763","-77.2282708","1"
"116","NeedGoogleMapsAPIKey","39.817761","-77.2256169","1"
"117","NeedGoogleMapsAPIKey","39.7940313","-77.2016118","1"
"118","NeedGoogleMapsAPIKey","39.8249469","-77.2312275","1"
"119","NeedGoogleMapsAPIKey","39.8008677","-77.2030615","1"
"120","NeedGoogleMapsAPIKey","39.802501","-77.200773","1"
"121","NeedGoogleMapsAPIKey","39.8198095","-77.240613","1"
"122","NeedGoogleMapsAPIKey","39.7965648","-77.2167244","1"
"123","NeedGoogleMapsAPIKey","39.8178968","-77.2384816","1"
"124","NeedGoogleMapsAPIKey","39.8264082","-77.2312499","1"
"125","NeedGoogleMapsAPIKey","39.8208112","-77.237097","1"
"126","NeedGoogleMapsAPIKey","39.8221495","-77.2349439","1"
"127","NeedGoogleMapsAPIKey","39.7984083","-77.1980287","1"
"128","NeedGoogleMapsAPIKey","39.7938732","-77.2304318","1"
"129","NeedGoogleMapsAPIKey","39.8231911","-77.2367875","1"
"130","NeedGoogleMapsAPIKey","39.8229768","-77.2312054","1"
"131","NeedGoogleMapsAPIKey","39.8002804","-77.2029661","1"
"132","NeedGoogleMapsAPIKey","39.8176044","-77.2381091","1"
"133","NeedGoogleMapsAPIKey","39.7972353","-77.2228097","1"
"134","NeedGoogleMapsAPIKey","39.820805","-77.22974","1"
"135","NeedGoogleMapsAPIKey","39.8256191","-77.2334642","1"
"136","NeedGoogleMapsAPIKey","39.8265409","-77.2312546","1"
"137","NeedGoogleMapsAPIKey","39.8181829","-77.2370686","1"
"138","NeedGoogleMapsAPIKey","39.7972238","-77.207107","1"
