"Gettysburg Area School District","5","2414","50","50"
"92","NeedGoogleMapsAPIKey","39.7315342","-77.2201151","1"
"93","NeedGoogleMapsAPIKey","39.7290263","-77.216395","1"
"94","NeedGoogleMapsAPIKey","39.7305873","-77.2253289","1"
"95","NeedGoogleMapsAPIKey","39.7281068","-77.2152597","1"
"96","NeedGoogleMapsAPIKey","39.730149","-77.2601597","1"
"97","NeedGoogleMapsAPIKey","39.7318","-77.2179461","1"
"98","NeedGoogleMapsAPIKey","39.7326597","-77.2307534","1"
"99","NeedGoogleMapsAPIKey","39.727864","-77.2247862","1"
"100","NeedGoogleMapsAPIKey","39.7551322","-77.2255815","1"
"101","NeedGoogleMapsAPIKey","39.7293007","-77.2168712","1"
"102","NeedGoogleMapsAPIKey","39.7297444","-77.2151549","1"
"103","NeedGoogleMapsAPIKey","39.7286645","-77.2161901","1"
"104","NeedGoogleMapsAPIKey","39.7282833","-77.2253805","1"
"105","NeedGoogleMapsAPIKey","39.7225502","-77.2096903","1"
"106","NeedGoogleMapsAPIKey","39.7322346","-77.2300159","1"
"107","NeedGoogleMapsAPIKey","39.7330346","-77.2298663","1"
"108","NeedGoogleMapsAPIKey","39.7299504","-77.2241869","1"
"109","NeedGoogleMapsAPIKey","39.751434","-77.2257229","1"
"110","NeedGoogleMapsAPIKey","39.731066","-77.2524298","1"
"111","NeedGoogleMapsAPIKey","39.7416048","-77.2207854","1"
"112","NeedGoogleMapsAPIKey","39.7303665","-77.2172012","1"
"113","NeedGoogleMapsAPIKey","39.72925","-77.2179408","1"
"114","NeedGoogleMapsAPIKey","39.730473","-77.260659","1"
"115","NeedGoogleMapsAPIKey","39.7512186","-77.2343808","1"
"116","NeedGoogleMapsAPIKey","39.7849231","-77.2573364","1"
"117","NeedGoogleMapsAPIKey","39.7780672","-77.2329866","1"
"118","NeedGoogleMapsAPIKey","39.7630631","-77.2317561","1"
"119","NeedGoogleMapsAPIKey","39.7695549","-77.2713478","1"
"120","NeedGoogleMapsAPIKey","39.7772102","-77.2336544","1"
"121","NeedGoogleMapsAPIKey","39.7735906","-77.2515217","1"
"122","NeedGoogleMapsAPIKey","39.7847322","-77.2329165","1"
"123","NeedGoogleMapsAPIKey","39.7732326","-77.2514642","1"
"124","NeedGoogleMapsAPIKey","39.7633984","-77.2668151","1"
"125","NeedGoogleMapsAPIKey","39.7605738","-77.2369688","1"
"126","NeedGoogleMapsAPIKey","39.7619378","-77.2298089","1"
"127","NeedGoogleMapsAPIKey","39.7753673","-77.2277385","1"
"128","NeedGoogleMapsAPIKey","39.7665673","-77.2478084","1"
"129","NeedGoogleMapsAPIKey","39.7614989","-77.2750277","1"
"130","NeedGoogleMapsAPIKey","39.7626938","-77.2345681","1"
"131","NeedGoogleMapsAPIKey","39.7611399","-77.2369475","1"
"132","NeedGoogleMapsAPIKey","39.7757107","-77.2685896","1"
"133","NeedGoogleMapsAPIKey","39.7803948","-77.2560861","1"
"134","NeedGoogleMapsAPIKey","39.7794227","-77.2572932","1"
"135","NeedGoogleMapsAPIKey","39.775741","-77.2641888","1"
"136","NeedGoogleMapsAPIKey","39.7634651","-77.2673976","1"
"137","NeedGoogleMapsAPIKey","39.7787993","-77.2460028","1"
"138","NeedGoogleMapsAPIKey","39.7589648","-77.2767345","1"
"139","NeedGoogleMapsAPIKey","39.7709079","-77.2283963","1"
"140","NeedGoogleMapsAPIKey","39.7777593","-77.2454741","1"
"141","NeedGoogleMapsAPIKey","39.7790599","-77.247802","1"
"142","NeedGoogleMapsAPIKey","39.7725161","-77.25046","1"
"143","NeedGoogleMapsAPIKey","39.7705358","-77.2686932","1"
"144","NeedGoogleMapsAPIKey","39.7560869","-77.2201659","1"
"145","NeedGoogleMapsAPIKey","39.7814923","-77.2532805","1"
"146","NeedGoogleMapsAPIKey","39.7579526","-77.2469567","1"
"147","NeedGoogleMapsAPIKey","39.762881","-77.2745154","1"
"148","NeedGoogleMapsAPIKey","39.7641504","-77.2322712","1"
"149","NeedGoogleMapsAPIKey","39.7758205","-77.2276767","1"
"150","NeedGoogleMapsAPIKey","39.7770473","-77.2472687","1"
"151","NeedGoogleMapsAPIKey","39.7760017","-77.2276404","1"
"152","NeedGoogleMapsAPIKey","39.7696892","-77.2499771","1"
"153","NeedGoogleMapsAPIKey","39.7638903","-77.2738042","1"
"154","NeedGoogleMapsAPIKey","39.7767095","-77.2321742","1"
"155","NeedGoogleMapsAPIKey","39.7775232","-77.2340722","1"
"156","NeedGoogleMapsAPIKey","39.78153","-77.2521741","1"
"157","NeedGoogleMapsAPIKey","39.7629378","-77.2355635","1"
"158","NeedGoogleMapsAPIKey","39.7589877","-77.2774478","1"
"159","NeedGoogleMapsAPIKey","39.7752871","-77.2491401","1"
"160","NeedGoogleMapsAPIKey","39.7552117","-77.218642","1"
"161","NeedGoogleMapsAPIKey","39.7776291","-77.2341905","1"
"162","NeedGoogleMapsAPIKey","39.7689779","-77.2681586","1"
"163","NeedGoogleMapsAPIKey","39.7751695","-77.2278003","1"
"164","NeedGoogleMapsAPIKey","39.7683244","-77.2705127","1"
"165","NeedGoogleMapsAPIKey","39.777145","-77.2415009","1"
"166","NeedGoogleMapsAPIKey","39.7713958","-77.2500458","1"
"167","NeedGoogleMapsAPIKey","39.7678574","-77.271491","1"
"168","NeedGoogleMapsAPIKey","39.7547891","-77.2502745","1"
"169","NeedGoogleMapsAPIKey","39.7788162","-77.2336692","1"
"170","NeedGoogleMapsAPIKey","39.7637637","-77.2743223","1"
"171","NeedGoogleMapsAPIKey","39.7604182","-77.2551223","1"
"172","NeedGoogleMapsAPIKey","39.7789376","-77.2343863","1"
"173","NeedGoogleMapsAPIKey","39.7767406","-77.249497","1"
"174","NeedGoogleMapsAPIKey","39.7648104","-77.2811665","1"
"175","NeedGoogleMapsAPIKey","39.7787258","-77.2484478","1"
"176","NeedGoogleMapsAPIKey","39.7577366","-77.2316701","1"
"177","NeedGoogleMapsAPIKey","39.7760754","-77.2522806","1"
"178","NeedGoogleMapsAPIKey","39.7782381","-77.2319047","1"
"179","NeedGoogleMapsAPIKey","39.7773717","-77.2445326","1"
"180","NeedGoogleMapsAPIKey","39.7829123","-77.2774979","1"
"181","NeedGoogleMapsAPIKey","39.780622","-77.2605491","1"
"182","NeedGoogleMapsAPIKey","39.7778616","-77.233456","1"
"183","NeedGoogleMapsAPIKey","39.7553815","-77.2179381","1"
"184","NeedGoogleMapsAPIKey","39.7636847","-77.2670157","1"
"185","NeedGoogleMapsAPIKey","39.7775694","-77.2464313","1"
"186","NeedGoogleMapsAPIKey","39.7755896","-77.2277062","1"
"187","NeedGoogleMapsAPIKey","39.7679518","-77.2667909","1"
"188","NeedGoogleMapsAPIKey","39.7637041","-77.2738699","1"
"189","NeedGoogleMapsAPIKey","39.7798002","-77.2341832","1"
"190","NeedGoogleMapsAPIKey","39.7776","-77.2329534","1"
"191","NeedGoogleMapsAPIKey","39.7545256","-77.2511718","1"
"192","NeedGoogleMapsAPIKey","39.7697046","-77.253456","1"
"193","NeedGoogleMapsAPIKey","39.7655878","-77.2728631","1"
"194","NeedGoogleMapsAPIKey","39.7549207","-77.2503781","1"
"195","NeedGoogleMapsAPIKey","39.7589939","-77.2550373","1"
"196","NeedGoogleMapsAPIKey","39.7779556","-77.2327787","1"
"197","NeedGoogleMapsAPIKey","39.7798309","-77.2333628","1"
"198","NeedGoogleMapsAPIKey","39.7749261","-77.2423773","1"
"199","NeedGoogleMapsAPIKey","39.7744908","-77.228319","1"
"200","NeedGoogleMapsAPIKey","39.7798899","-77.2335656","1"
"201","NeedGoogleMapsAPIKey","39.7718495","-77.2497866","1"
"202","NeedGoogleMapsAPIKey","39.7723203","-77.2664179","1"
"203","NeedGoogleMapsAPIKey","39.779103","-77.2332276","1"
"204","NeedGoogleMapsAPIKey","39.7648349","-77.2502215","1"
"205","NeedGoogleMapsAPIKey","39.7856225","-77.2592485","1"
"206","NeedGoogleMapsAPIKey","39.7785993","-77.236881","1"
"207","NeedGoogleMapsAPIKey","39.7728588","-77.2512541","1"
"208","NeedGoogleMapsAPIKey","39.7636896","-77.2634391","1"
"209","NeedGoogleMapsAPIKey","39.762906","-77.2366698","1"
"210","NeedGoogleMapsAPIKey","39.7573665","-77.2319955","1"
"211","NeedGoogleMapsAPIKey","39.8227387","-77.2381711","1"
"212","NeedGoogleMapsAPIKey","39.7988391","-77.1944327","1"
"213","NeedGoogleMapsAPIKey","39.8094672","-77.2009662","1"
"214","NeedGoogleMapsAPIKey","39.8267328","-77.2308626","1"
"215","NeedGoogleMapsAPIKey","39.8234872","-77.2361218","1"
"216","NeedGoogleMapsAPIKey","39.8223763","-77.2371909","1"
"217","NeedGoogleMapsAPIKey","39.8024137","-77.2053689","1"
"218","NeedGoogleMapsAPIKey","39.8192059","-77.2394157","1"
"219","NeedGoogleMapsAPIKey","39.8249955","-77.2307726","1"
"220","NeedGoogleMapsAPIKey","39.8202091","-77.2342898","1"
"221","NeedGoogleMapsAPIKey","39.8246435","-77.2307724","1"
"222","NeedGoogleMapsAPIKey","39.8264123","-77.2308556","1"
"223","NeedGoogleMapsAPIKey","39.8007865","-77.2018799","1"
"224","NeedGoogleMapsAPIKey","39.7946243","-77.229959","1"
"225","NeedGoogleMapsAPIKey","39.7934011","-77.2147043","1"
"226","NeedGoogleMapsAPIKey","39.8217842","-77.2388853","1"
"227","NeedGoogleMapsAPIKey","39.8113052","-77.2203139","1"
"228","NeedGoogleMapsAPIKey","39.8041793","-77.1990012","1"
"229","NeedGoogleMapsAPIKey","39.8076795","-77.2154876","1"
"230","NeedGoogleMapsAPIKey","39.8219138","-77.2304862","1"
"231","NeedGoogleMapsAPIKey","39.8117559","-77.2206553","1"
"232","NeedGoogleMapsAPIKey","39.8189514","-77.2353636","1"
"233","NeedGoogleMapsAPIKey","39.8252635","-77.2331268","1"
"234","NeedGoogleMapsAPIKey","39.8180118","-77.2359194","1"
"235","NeedGoogleMapsAPIKey","39.8181222","-77.2390175","1"
"236","NeedGoogleMapsAPIKey","39.8228434","-77.2332942","1"
"237","NeedGoogleMapsAPIKey","39.8041612","-77.2285142","1"
"238","NeedGoogleMapsAPIKey","39.8178968","-77.2384816","1"
"239","NeedGoogleMapsAPIKey","39.8223584","-77.2336387","1"
"240","NeedGoogleMapsAPIKey","39.8259099","-77.2312745","1"
"241","NeedGoogleMapsAPIKey","39.8212232","-77.2390579","1"
"242","NeedGoogleMapsAPIKey","39.7940313","-77.2016118","1"
"243","NeedGoogleMapsAPIKey","39.8224837","-77.2308523","1"
"244","NeedGoogleMapsAPIKey","39.8257219","-77.2355519","1"
"245","NeedGoogleMapsAPIKey","39.826942","-77.2320416","1"
"246","NeedGoogleMapsAPIKey","39.8037992","-77.2296425","1"
"247","NeedGoogleMapsAPIKey","39.7905831","-77.2005556","1"
"248","NeedGoogleMapsAPIKey","39.7978178","-77.1982408","1"
"249","NeedGoogleMapsAPIKey","39.7946557","-77.2313237","1"
"250","NeedGoogleMapsAPIKey","39.8212178","-77.235589","1"
"251","NeedGoogleMapsAPIKey","39.8196807","-77.2348344","1"
"252","NeedGoogleMapsAPIKey","39.8258322","-77.2322522","1"
"253","NeedGoogleMapsAPIKey","39.8270799","-77.2335014","1"
"254","NeedGoogleMapsAPIKey","39.8217835","-77.2358949","1"
"255","NeedGoogleMapsAPIKey","39.8258283","-77.2321449","1"
"256","NeedGoogleMapsAPIKey","39.8053921","-77.1998934","1"
"257","NeedGoogleMapsAPIKey","39.8179827","-77.253684","1"
"258","NeedGoogleMapsAPIKey","39.8227437","-77.2357653","1"
"259","NeedGoogleMapsAPIKey","39.8195563","-77.2367772","1"
"260","NeedGoogleMapsAPIKey","39.8244289","-77.2301217","1"
"261","NeedGoogleMapsAPIKey","39.8267483","-77.2328534","1"
"262","NeedGoogleMapsAPIKey","39.8222456","-77.2347519","1"
"263","NeedGoogleMapsAPIKey","39.7964162","-77.2306642","1"
"264","NeedGoogleMapsAPIKey","39.8206945","-77.2352992","1"
"265","NeedGoogleMapsAPIKey","39.8267484","-77.2328828","1"
"266","NeedGoogleMapsAPIKey","39.8199732","-77.2404401","1"
"267","NeedGoogleMapsAPIKey","39.8086711","-77.2179951","1"
"268","NeedGoogleMapsAPIKey","39.8269489","-77.2322492","1"
"269","NeedGoogleMapsAPIKey","39.8242003","-77.2307943","1"
"270","NeedGoogleMapsAPIKey","39.8180606","-77.237776","1"
"271","NeedGoogleMapsAPIKey","39.8017099","-77.2035323","1"
"272","NeedGoogleMapsAPIKey","39.822573","-77.2332678","1"
"273","NeedGoogleMapsAPIKey","39.8080663","-77.2174872","1"
"274","NeedGoogleMapsAPIKey","39.8049885","-77.2296212","1"
"275","NeedGoogleMapsAPIKey","39.7976499","-77.1961793","1"
"276","NeedGoogleMapsAPIKey","39.8234025","-77.2315425","1"
"277","NeedGoogleMapsAPIKey","39.8250788","-77.2331436","1"
"278","NeedGoogleMapsAPIKey","39.8269447","-77.2343931","1"
"279","NeedGoogleMapsAPIKey","39.8173608","-77.2382885","1"
"280","NeedGoogleMapsAPIKey","39.8038249","-77.2117854","1"
"281","NeedGoogleMapsAPIKey","39.8263743","-77.2377377","1"
"282","NeedGoogleMapsAPIKey","39.8219791","-77.2374151","1"
"283","NeedGoogleMapsAPIKey","39.7971742","-77.218734","1"
"284","NeedGoogleMapsAPIKey","39.8222909","-77.2360776","1"
"285","NeedGoogleMapsAPIKey","39.8052723","-77.2034048","1"
"286","NeedGoogleMapsAPIKey","39.8269456","-77.2319524","1"
"287","NeedGoogleMapsAPIKey","39.8267497","-77.2329798","1"
"288","NeedGoogleMapsAPIKey","39.8198925","-77.2359301","1"
"289","NeedGoogleMapsAPIKey","39.8236615","-77.2292789","1"
"290","NeedGoogleMapsAPIKey","39.8237134","-77.2448107","1"
"291","NeedGoogleMapsAPIKey","39.8251485","-77.2331018","1"
"292","NeedGoogleMapsAPIKey","39.8256138","-77.2321378","1"
"293","NeedGoogleMapsAPIKey","39.819781","-77.2399695","1"
"294","NeedGoogleMapsAPIKey","39.8192121","-77.235206","1"
"295","NeedGoogleMapsAPIKey","39.8266949","-77.2331873","1"
"296","NeedGoogleMapsAPIKey","39.8224707","-77.2384782","1"
