"Conewago Valley School District","5","3189","50","50"
"92","NeedGoogleMapsAPIKey","39.7970801","-77.0176026","1"
"93","NeedGoogleMapsAPIKey","39.7975904","-77.0158066","1"
"94","NeedGoogleMapsAPIKey","39.775617","-77.0038576","1"
"95","NeedGoogleMapsAPIKey","39.7742424","-77.0254227","1"
"96","NeedGoogleMapsAPIKey","39.7974157","-77.0170826","1"
"97","NeedGoogleMapsAPIKey","39.7959034","-77.0207917","1"
"98","NeedGoogleMapsAPIKey","39.7961973","-77.0152913","1"
"99","NeedGoogleMapsAPIKey","39.7966737","-77.0175868","1"
"100","NeedGoogleMapsAPIKey","39.7979725","-77.021715","1"
"101","NeedGoogleMapsAPIKey","39.7749642","-77.0057081","1"
"102","NeedGoogleMapsAPIKey","39.7962982","-77.0153267","1"
"103","NeedGoogleMapsAPIKey","39.7949585","-77.0187308","1"
"104","NeedGoogleMapsAPIKey","39.7815503","-77.0038629","1"
"105","NeedGoogleMapsAPIKey","39.7980778","-77.0159636","1"
"106","NeedGoogleMapsAPIKey","39.7979699","-77.0153059","1"
"107","NeedGoogleMapsAPIKey","39.7954237","-77.018664","1"
"108","NeedGoogleMapsAPIKey","39.7971269","-77.0185288","1"
"109","NeedGoogleMapsAPIKey","39.7799026","-77.0056484","1"
"110","NeedGoogleMapsAPIKey","39.7975131","-77.020853","1"
"111","NeedGoogleMapsAPIKey","39.796917","-77.0150897","1"
"112","NeedGoogleMapsAPIKey","39.7896694","-77.0192579","1"
"113","NeedGoogleMapsAPIKey","39.7698306","-77.0217964","1"
"114","NeedGoogleMapsAPIKey","39.7966795","-77.0235661","1"
"115","NeedGoogleMapsAPIKey","39.7685543","-77.0225343","1"
"116","NeedGoogleMapsAPIKey","39.7795964","-77.0039382","1"
"117","NeedGoogleMapsAPIKey","39.7736516","-77.0063595","1"
"118","NeedGoogleMapsAPIKey","39.7944505","-77.0165871","1"
"119","NeedGoogleMapsAPIKey","39.7959549","-77.0217417","1"
"120","NeedGoogleMapsAPIKey","39.7946694","-77.0113554","1"
"121","NeedGoogleMapsAPIKey","39.7955104","-77.0099593","1"
"122","NeedGoogleMapsAPIKey","39.7772968","-77.0086463","1"
"123","NeedGoogleMapsAPIKey","39.7970695","-77.0201933","1"
"124","NeedGoogleMapsAPIKey","39.7963594","-77.0212525","1"
"125","NeedGoogleMapsAPIKey","39.7949014","-77.0140071","1"
"126","NeedGoogleMapsAPIKey","39.7965438","-77.016061","1"
"127","NeedGoogleMapsAPIKey","39.7944172","-77.0165319","1"
"128","NeedGoogleMapsAPIKey","39.7966927","-77.0222299","1"
"129","NeedGoogleMapsAPIKey","39.7807976","-77.0052725","1"
"130","NeedGoogleMapsAPIKey","39.7747325","-77.0257153","1"
"131","NeedGoogleMapsAPIKey","39.7960486","-77.0226557","1"
"132","NeedGoogleMapsAPIKey","39.7977623","-77.0146911","1"
"133","NeedGoogleMapsAPIKey","39.7787598","-77.0035621","1"
"134","NeedGoogleMapsAPIKey","39.7933389","-77.0483721","1"
"135","NeedGoogleMapsAPIKey","39.7917031","-77.0434443","1"
"136","NeedGoogleMapsAPIKey","39.7951197","-77.051267","1"
"137","NeedGoogleMapsAPIKey","39.7942284","-77.0490001","1"
"138","NeedGoogleMapsAPIKey","39.7980899","-77.0475383","1"
"139","NeedGoogleMapsAPIKey","39.7968285","-77.0476475","1"
"140","NeedGoogleMapsAPIKey","39.7982191","-77.0454862","1"
"141","NeedGoogleMapsAPIKey","39.7973192","-77.046322","1"
"142","NeedGoogleMapsAPIKey","39.7969651","-77.048243","1"
"143","NeedGoogleMapsAPIKey","39.7844657","-77.0427493","1"
"144","NeedGoogleMapsAPIKey","39.7839532","-77.0438893","1"
"145","NeedGoogleMapsAPIKey","39.7898595","-77.040027","1"
"146","NeedGoogleMapsAPIKey","39.7859431","-77.0486807","1"
"147","NeedGoogleMapsAPIKey","39.7912452","-77.0428742","1"
"148","NeedGoogleMapsAPIKey","39.7983806","-77.0421342","1"
"149","NeedGoogleMapsAPIKey","39.7929466","-77.0481155","1"
"150","NeedGoogleMapsAPIKey","39.7959269","-77.048905","1"
"151","NeedGoogleMapsAPIKey","39.7832114","-77.043995","1"
"152","NeedGoogleMapsAPIKey","39.7882424","-77.046798","1"
"153","NeedGoogleMapsAPIKey","39.7887528","-77.0445853","1"
"154","NeedGoogleMapsAPIKey","39.7899304","-77.0475757","1"
"155","NeedGoogleMapsAPIKey","39.7932795","-77.0507971","1"
"156","NeedGoogleMapsAPIKey","39.7945178","-77.050214","1"
"157","NeedGoogleMapsAPIKey","39.796996","-77.0367893","1"
"158","NeedGoogleMapsAPIKey","39.7904085","-77.0479317","1"
"159","NeedGoogleMapsAPIKey","39.7974814","-77.0457314","1"
"160","NeedGoogleMapsAPIKey","39.7944718","-77.0471405","1"
"161","NeedGoogleMapsAPIKey","39.7911358","-77.0448369","1"
"162","NeedGoogleMapsAPIKey","39.7915557","-77.0495346","1"
"163","NeedGoogleMapsAPIKey","39.7864306","-77.0432984","1"
"164","NeedGoogleMapsAPIKey","39.7845359","-77.0453393","1"
"165","NeedGoogleMapsAPIKey","39.79804","-77.0431844","1"
"166","NeedGoogleMapsAPIKey","39.7890781","-77.0452135","1"
